date,Male,Female
1984,7599,8300
1985,9000,7600
1986,7600,6400
1987,9801,9001
1988,10200,10500
1989,11200,9800
1990,10900,10601
1991,12601,12000
1992,12201,8600
1993,11801,12100
1994,11900,9001
1995,11201,12000
1996,11601,10201
1997,11401,10800
1998,10599,9800
1999,9800,9000
2000,10000,8799
2001,10599,9900
2002,20000,17200
2003,19000,15000
2004,26001,14800
2005,20801,18799
2006,20000,16399
2007,20401,18900
2008,23600,20400
2009,20801,19500
2010,20801,20001
2011,22405,23800
2012,18801,19200
2013,21399,19900
2014,19800,18000
2015,20801,18401
2016,20200,19000
2017,19600,19800
2018,20401,18401
2019,28900,25601
