name,proportion,percentage,population,contestants
Alabama,53295.48913,52.23298617,"4,903,185",92
Alaska,36577.25,67.94713994,"731,545",20
Arizona,55990.13077,49.70018276,"7,278,717",130
Arkansas,64208.59574,41.97531285,"3,017,804",47
California,18602.74153,84.84211244,"39,512,223",2124
Colorado,35768.54658,68.70727322,"5,758,736",161
Connecticut,17140.80288,86.2162481,"3,565,287",208
Delaware,18372.90566,85.05814452,"973,764",53
District of Columbia,2476.312281,100,"705,749",285
Florida,50655.04009,54.71485174,"21,477,737",424
Georgia,30163.13352,73.97602922,"10,617,423",352
Hawaii,30779.82609,73.39637477,"1,415,872",46
Idaho,74461.04167,32.33862141,"1,787,065",24
Illinois,21119.70167,82.4763191,"12,671,821",600
Indiana,41815.02484,63.02394207,"6,732,219",161
Iowa,42636.08108,62.25219788,"3,155,070",74
Kansas,42842.85294,62.05784458,"2,913,314",68
Kentucky,31462.48592,72.754715,"4,467,673",142
Louisiana,34435.51111,69.96024754,"4,648,794",135
Maine,24440.21818,79.35523041,"1,344,212",55
Maryland,13142.78261,89.97415017,"6,045,680",460
Massachusetts,12156.08995,90.90158278,"6,892,503",567
Michigan,38559.29344,66.0841366,"9,986,857",259
Minnesota,35921.22293,68.5637665,"5,639,632",157
Mississippi,93004.65625,14.90872291,"2,976,149",32
Missouri,38600.1761,66.04570932,"6,137,428",159
Montana,38170.64286,66.44944511,"1,068,778",28
Nebraska,41157.61702,63.64186645,"1,934,408",47
Nevada,49679.93548,55.63139228,"3,080,156",62
New Hampshire,19150.85915,84.32691435,"1,359,711",71
New Jersey,20418.82759,83.13509919,"8,882,190",435
New Mexico,47655.20455,57.53451934,"2,096,829",44
New York,16556.22213,86.76571936,"19,453,561",1175
North Carolina,45207.25862,59.8354434,"10,488,084",232
North Dakota,108866,0,"762,062",7
Ohio,32201.37741,72.06020079,"11,689,100",363
Oklahoma,53472.58108,52.06653023,"3,956,971",74
Oregon,27566.9085,76.41632685,"4,217,737",153
Pennsylvania,24109.20716,79.66636115,"12,801,989",531
Rhode Island,19261.10909,84.22328595,"1,059,361",55
South Carolina,46384.81081,58.72861414,"5,148,714",111
South Dakota,49147.72222,56.13164119,"884,659",18
Tennessee,49486.76812,55.81295815,"6,829,174",138
Texas,60032.87992,45.9002382,"28,995,881",483
Utah,91598.8,16.23014445,"3,205,958",35
Vermont,13564.97826,89.57731128,"623,989",46
Virginia,16135.1966,87.1614584,"8,535,519",529
Washington,29862.32549,74.25877094,"7,614,893",255
West Virginia,49781.86111,55.53558823,"1,792,147",36
Wisconsin,41588.81429,63.23656659,"5,822,434",140
Wyoming,38583.93333,66.06097656,"578,759",15
